t_n,r_n,p_n,F(t_n)
1.78,1.1274837303325485,0.8270037558358735,-0.27383913064352594
1.79,1.135740075934375,0.8222806314258221,-0.6707857513667581
1.8,1.1439293429610649,0.8138966253883395,-1.0060154561297665
1.81,1.1520180084421416,0.8024320872375031,-1.2868921740375088
1.82,1.1599779847058147,0.7883954236915319,-1.5204405351567303
1.83,1.167785916915972,0.7722274464511397,-1.7131549129217096
1.84,1.1754225336348374,0.7543071458866988,-1.8709051999664712
1.85,1.182872059833706,0.7349580780883007,-1.9989083597131374
1.86,1.1901216951966032,0.7144548249688164,-2.1017422641837333
1.87,1.1971611563330822,0.6930291897571029,-2.183384778158966
1.8800000000000001,1.2039822789917454,0.6708759347837991,-2.247266216501795
1.8900000000000001,1.2105786750287584,0.6481579675560833,-2.2963272290413586
1.9000000000000001,1.216945438342867,0.6250109462382776,-2.333077034519806
1.9100000000000001,1.2230788939535238,0.6015473163286387,-2.3596489474079743
1.92,1.2289763846694397,0.5778598139775676,-2.3778515228062425
1.93,1.234636090233075,0.5540244835765483,-2.389214557397615
1.94,1.2400568743409708,0.5301032619665509,-2.3950297646018757
1.95,1.2452381554724061,0.50614618168109,-2.396386292490292
1.96,1.2501797979745926,0.4821932429748142,-2.3942014487648793
1.97,1.2548820203319024,0.45827600027290527,-2.3892470916169084
1.98,1.2593453179800507,0.4344189039362802,-2.3821721757081122
1.99,1.263570398410628,0.4106404333869841,-2.3735219341511096
2.0,1.2675581266477902,0.38695405298101704,-2.363754147042303
2.0100000000000002,1.2713094794702482,0.3633690177169714,-2.3532529057668325
2.02,1.2748255070021295,0.3398910520038509,-2.342340236857262
2.0300000000000002,1.2781073005103252,0.31652292130040505,-2.3312859038319034
2.04,1.2811559654281375,0.2932649134684808,-2.3203156625529386
2.05,1.2839725987796946,0.2701152441234513,-2.309618206452971
2.06,1.2865582703106067,0.24707039807632522,-2.2993510029722417
2.07,1.2889140067412213,0.22412541710260264,-2.2896451917722738
2.08,1.2910407786526585,0.2012741427010757,-2.2806096885331177
2.09,1.2929394895952426,0.17850942118314367,-2.2723346150532837
2.1,1.2946109670763213,0.15582327732513931,-2.2648941565475895
2.11,1.2960559551417452,0.1332070618921018,-2.2583489300599133
2.12,1.2972751083141632,0.11065157757494958,-2.252747933370531
2.13,1.2982689866932442,0.08814718725157394,-2.248130131304595
2.14,1.2990380520591946,0.06568390796706919,-2.244525725596356
2.15,1.2995826648525854,0.04325149361346675,-2.2419571451241316
2.16,1.2999030819314639,0.020839508962208708,-2.240439785127477
2.17,1.2999994550318297,-0.0015626025469398092,-2.239982516702226
2.18,1.2998718298805252,-0.023965455036534376,-2.240587981216687
2.19,1.299520145931099,-0.0463796583331028,-2.242252678096998
2.2,1.2989442367138633,-0.0688157559660806,-2.2449668484985614
2.21,1.2981438308117774,-0.09128416096621383,-2.2487141515280857
2.22,1.2971185534945389,-0.11379508734247433,-2.253471123724013
2.23,1.2958679290649278,-0.13635847499237433,-2.259206406255987
2.24,1.2943913839946912,-0.1589839056115127,-2.265879717571689
2.25,1.2926882509526976,-0.18168050690834028,-2.273440541793823
2.2600000000000002,1.2907577738565243,-0.20445684209142617,-2.2818264948233535
2.27,1.2885991141108688,-0.22732078116847218,-2.2909613205858483
2.2800000000000002,1.2862113582331547,-0.2502793500658262,-2.3007524588849515
2.29,1.2835935271095522,-0.2733385529281874,-2.3110881135872883
2.3000000000000003,1.2807445871745908,-0.29650316217116696,-2.321833735008628
2.31,1.2776634638661288,-0.31977646991131325,-2.332827813020633
2.32,1.2743490577763648,-0.3431599932621341,-2.3438768571435293
2.33,1.2708002640008862,-0.3666531246294189,-2.354749416313431
2.34,1.2670159952837763,-0.3902527165295497,-2.365168963712723
2.35,1.2629952096702952,-0.4139525885515817,-2.3748054406936707
2.36,1.2587369435127447,-0.43774294184617335,-2.383265218224667
2.37,1.2542403508333717,-0.46160966390999175,-2.3900791945390125
2.38,1.2495047502345447,-0.4855335034043924,-2.394688704341112
2.39,1.2445296807652837,-0.5094890912730039,-2.396428869381188
2.4,1.2393149684090847,-0.5334437804951218,-2.3945089750423865
2.41,1.2338608051553814,-0.5573562724568134,-2.3879894172959504
2.42,1.2281678429599485,-0.5811749932250493,-2.375754736351227
2.43,1.2222373052908804,-0.6048361781528059,-2.356482249200086
2.44,1.2160711193968923,-0.6282616185531898,-2.328605830876711
2.45,1.2096720729198167,-0.6513560202092639,-2.290274500338102
2.46,1.203043998992707,-0.6740039211137202,-2.2393056805531764
2.47,1.1961919944975423,-0.6960661164153895,-2.1731333797806878
2.48,1.1891226766643994,-0.7173755441178933,-2.0887521607200576
2.49,1.1818444836151845,-0.7377325985883495,-1.9826587333711894
2.5,1.1743680246926322,-0.7568998645907405,-1.8507944671070222
2.5100000000000002,1.1667064863233696,-0.7745963081503391,-1.6884942448126878
2.52,1.1588760985296256,-0.7904910297954629,-1.4904500842120867
2.5300000000000002,1.1508966657274602,-0.80419679043146,-1.2507020429873221
2.54,1.1427921627209963,-0.8152636720070208,-0.9626742721248309
2.5500000000000003,1.1345913922873199,-0.823173446864791,-0.6192806994292068
2.56,1.1263286937837005,-0.8273355122891207,-0.21313238543673219
2.57,1.1180446820415373,-0.827085604896068,0.2631138640472779
2.58,1.109786981685779,-0.8216889329367776,0.8162205278108106
2.59,1.1016109033828019,-0.8103498153708854,1.4516029853676384
2.6,1.0935799853783614,-0.792230311834956,2.1722977218182393
2.61,1.0857662971461028,-0.7664805208742765,2.9776604703176517
2.62,1.078250374960876,-0.7322829928661545,3.8618451313067528
2.63,1.0711206372887798,-0.6889127616049538,4.812201120933377
2.64,1.064472119728777,-0.6358125483760885,5.807841524839693
2.65,1.0584043863212582,-0.5726795551318768,6.818757124002635
2.66,1.0530185286261395,-0.49955607459016266,7.805938984340202
2.67,1.048413264829455,-0.41691157631860687,8.722960669970961
2.68,1.0446802970997675,-0.32570030242244974,9.519294109260466
2.69,1.041899258781006,-0.22737752028929303,10.145262317370875
2.7,1.0401327466939816,-0.12386108907403524,10.558023925680683
2.71,1.0394220369995253,-0.017433467247209664,10.727500439684434
2.72,1.0397840773490374,0.08940863757845358,10.640920525448212
2.73,1.0412102097510942,0.19413743666282396,10.304839291425862
2.74,1.0436668260822939,0.2943821097855339,9.74409533311613
2.75,1.047097851946805,0.3880925122969538,8.997985169167848
2.7600000000000002,1.0514286763282328,0.4736556390735488,8.114640186151153
2.77,1.056570964728276,0.5499534528026616,7.144922559671413
2.7800000000000002,1.062427745384286,0.6163632863017635,6.137044140148965
2.79,1.0688982304543113,0.6727119271032653,5.132684020151411
2.8000000000000003,1.0758819839263516,0.7191996360588092,4.164857770957367
2.81,1.0832822231754875,0.7563107469511893,3.2573644075186428
2.82,1.0910081988653755,0.7847245534732947,2.4253968969024458
2.83,1.0989767142449536,0.8052357526759965,1.6768429436378929
2.84,1.1071129139188953,0.8186892965285095,1.013865826864722
2.85,1.1153505001755237,0.8259309869405357,0.4344722555405176
2.86,1.123631533657706,0.8277728219454581,-0.06610525455603833
2.87,1.131905956614433,0.8249708603214797,-0.49428707023963714
2.88,1.1401309508641357,0.818212943002936,-0.8572963934691029
2.89,1.1482702154744915,0.8081136928493834,-1.1625536372414302
2.9,1.1562932247211233,0.7952145634677467,-1.4172722390859236
2.91,1.1641745067438465,0.7799871523135781,-1.6282099917478017
2.92,1.1718929677673948,0.7628384315935309,-1.8015341522616288
2.93,1.179431275375717,0.7441169320433799,-1.9427657577685655
2.94,1.1867753064082622,0.7241192218664316,-2.0567762776211027
2.95,1.1939136598130455,0.7030962569015352,-2.147816715358182
2.96,1.200837231546293,0.6812593480961214,-2.21956504572457
2.97,1.2075388467749681,0.658785611073568,-2.2751823587861115
2.98,1.2140129437677647,0.6358228421927168,-2.3173714173841318
2.99,1.2202553036188226,0.6124938164927103,-2.3484337226171705
3.0,1.2262628200976189,0.5889000336898172,-2.3703228379614387
3.0100000000000002,1.2320333042926188,0.5651249553286943,-2.3846928342631526
3.02,1.2375653192041927,0.541236783967342,-2.392941438007321
3.0300000000000002,1.2428580399719658,0.5172908372189663,-2.3962479116678215
3.04,1.247911135948572,0.49333156788663046,-2.395605954799341
3.0500000000000003,1.2527246713296982,0.4693942778594696,-2.391852050632836
3.06,1.2572990215057613,0.44550656890932905,-2.385689739395276
3.0700000000000003,1.261634802707885,0.42168956867878726,-2.377710306713083
3.08,1.2657328128793373,0.39795896537682895,-2.368410353678581
3.09,1.2695939820154216,0.3743258802190461,-2.358206677877982
3.1,1.273219330483718,0.3507976025772066,-2.3474488504899185
3.11,1.2766099340669657,0.32737820918085214,-2.3364298287809726
3.12,1.279766894667335,0.3040690855415521,-2.3253948990790394
3.13,1.2826913157777966,0.28086936502466653,-2.3145492042980775
3.14,1.2853842819678285,0.2577762986376386,-2.3040640731075093
3.15,1.2878468417505495,0.23478556659655178,-2.2940823351098576
3.16,1.2900799932997595,0.21189154103200228,-2.284722777800044
3.17,1.2920846725711896,0.18908750776133826,-2.2760838763327604
3.18,1.2938617434549864,0.16636585385050268,-2.268246905834354
3.19,1.2954119896481997,0.14371822668260356,-2.261278527745469
3.2,1.2967361079886384,0.12113566941359195,-2.255232926056852
3.21,1.2978347030364714,0.09860873700374644,-2.2501535559122514
